feature,global_rho,global_p,species_n,mean_rho,median_rho,mean_abs_rho,consistent_species,feature_family
raw_full_lab_b_p99,-0.20707889190539577,1.0024623654401472e-43,8,-0.1717782153626225,-0.20933917454676676,0.19808164649820276,6,raw_full
raw_full_hsv_s_p90,-0.16138263015974036,5.299829314526353e-27,8,-0.16407624019192843,-0.15458055218468011,0.1964917312692656,7,raw_full
raw_full_lab_a_p90,-0.11695922950123863,7.612834576130664e-15,8,-0.12132447990069846,-0.14940821875482269,0.19191699824137914,6,raw_full
raw_full_lab_b_p50,-0.040466671230773466,0.0073284575667929095,8,-0.054883755540652515,0.03885747361442508,0.18832028999804254,3,raw_full
raw_full_lab_l_p90_p10,0.18571487692401675,2.3203871543757433e-35,8,0.18472686881064398,0.20477326855974176,0.18472686881064398,8,raw_full
raw_full_hsv_s_skew,-0.0975109850460761,9.519810925854714e-11,8,-0.06365948947552008,-0.11718160609647811,0.1844543327057469,5,raw_full
raw_full_lab_a_mean,-0.10492322066865208,3.1881855888865315e-12,8,-0.10866061043828483,-0.14908989295301955,0.1804886130528084,6,raw_full
raw_full_gray_p90_p10,0.17882226061675663,7.214304976100718e-33,8,0.17876782998594662,0.2004407314739829,0.17876782998594662,8,raw_full
raw_full_lab_l_skew,0.007134110794205338,0.6365294674527892,8,0.005084912082649957,0.04338937226982149,0.16713439334327873,5,raw_full
raw_full_gray_skew,0.009212214836636841,0.5417203631879444,8,0.003152821583807641,0.02070162447631718,0.16205231402805256,5,raw_full
raw_full_hsv_s_mean,-0.11553119916904789,1.6121126498183276e-14,8,-0.11626012634522367,-0.09722475435170991,0.1551429097726893,6,raw_full
raw_full_hsv_s_p50,-0.029634079097289007,0.0496067483135308,8,-0.03857792857422049,-0.0107736397979348,0.15222757742626317,4,raw_full
raw_full_lab_l_gloss_p99_p90,0.04005248742849596,0.007952735642378181,8,0.03783305826379155,0.03959887264070526,0.15210481606057363,4,raw_full
raw_full_gray_gloss_p99_p90,0.043151018894863453,0.004242050841573268,8,0.04248794377536262,0.04949141978595141,0.15065678663503848,4,raw_full
raw_full_lab_b_p10,-0.06655102199955246,1.0189466771875726e-05,8,-0.0913894174767445,-0.017196253202188906,0.14992667872281606,5,raw_full
raw_full_lab_a_p50,-0.024622978336846364,0.10284196036479294,8,-0.03716878640700524,-0.03311634184199815,0.14943343109309049,4,raw_full
raw_full_hsv_s_p10,-0.049278093550829245,0.001090486817814263,8,-0.051503582721869653,-0.060984666237970636,0.14351438511921943,5,raw_full
raw_full_lab_a_p10,-0.013702697769637777,0.36404480959836094,8,-0.009211467974423918,0.011762604263729779,0.1406883223614554,4,raw_full
raw_full_hsv_v_skew,-0.029471032523275237,0.0508750253080366,8,-0.03619626314384976,-0.0063941138932718175,0.13994873162863342,4,raw_full
raw_full_lab_a_p90_p10,-0.07636346974424552,4.0716545108584105e-07,8,-0.08282895390189612,-0.07973148944621461,0.1397779050344241,6,raw_full
raw_full_lab_a_p99,-0.08058817280981555,8.956551353517371e-08,8,-0.06045240938304254,-0.0528377708947608,0.13840726686097732,5,raw_full
raw_full_hsv_s_gloss_p99_p90,0.10372874104985347,5.602956531970422e-12,8,0.1277396557184328,0.13191056750119212,0.1277396557184328,8,raw_full
raw_full_hsv_v_gloss_p99_p90,0.044755618899295496,0.003016827192983961,8,0.04744101749177673,0.05563850454478094,0.12701809584264065,5,raw_full
raw_full_lab_a_skew,-0.12741175927583048,2.3693861597760163e-17,8,-0.0921310839117353,-0.0737076572437064,0.12689746911292196,6,raw_full
raw_full_hsv_v_std,0.11822725462404891,3.880278712634655e-15,8,0.11932024230288625,0.10066475988108448,0.1264578355046942,7,raw_full
raw_full_lab_b_std,-0.12402678718648749,1.6218706040788326e-16,8,-0.08568453299769513,-0.0951145635650498,0.12488003577968554,6,raw_full
raw_full_gray_p99,0.10802027776623363,7.174127698340278e-13,8,0.11926750565609337,0.12612461505040207,0.12421356142245882,7,raw_full
raw_full_gray_p50,0.0020366528856800956,0.8926874806307625,8,0.00304100159019801,0.05045871803035082,0.12381373624384115,5,raw_full
raw_full_gray_p90,0.08606373696636876,1.1211205241121914e-08,8,0.08812653901449782,0.08309380917842386,0.12380306596991336,7,raw_full
raw_full_lab_l_p99,0.10568858722295287,2.2140596519826144e-12,8,0.11750332641752653,0.12851612838899662,0.12377753586788431,7,raw_full
raw_full_lab_l_p50,-0.0004207935607712751,0.9777637523356418,8,0.0010992630749848478,0.04612227206724768,0.12148094428485613,3,raw_full
raw_full_lab_a_std,-0.06198168386244204,3.9650469975697934e-05,8,-0.05300050590800822,-0.050254801133893065,0.12043184438291489,6,raw_full
raw_full_lab_l_p90,0.08289877538826353,3.7863925382033935e-08,8,0.08502295400262988,0.07631700278693945,0.11960432681811553,7,raw_full
raw_full_hsv_v_p90_p10,0.09573079490783931,2.0756473037255675e-10,8,0.09838651758970818,0.07289483604340026,0.11433842312819684,7,raw_full
raw_full_lab_a_gloss_p99_p90,0.06996094911747909,3.4879137278654593e-06,8,0.09270467554566475,0.10945247548838319,0.11266821924842112,6,raw_full
raw_full_lab_b_p90_p10,-0.11919384899115178,2.3101468710760367e-15,8,-0.08244387860331605,-0.06776657188221859,0.11208933356178595,7,raw_full
raw_full_lab_b_gloss_p99_p90,-0.0585113934377023,0.00010488106893887719,8,-0.010127028536366198,0.004249190223964203,0.11160954415541843,4,raw_full
raw_full_hsv_v_p50,-0.009874235161127808,0.5130682715383982,8,-0.013121895875461363,0.033150173707341316,0.1026435331253602,3,raw_full
raw_full_gray_mean,0.014814041594300139,0.3264401924354068,8,0.019709747029938537,0.02396785890084298,0.09953306923497392,4,raw_full
raw_full_gray_p10,-0.08913534507783634,3.2997810063679005e-09,8,-0.07700772855064181,-0.07318672590187573,0.09841988697109028,6,raw_full
raw_full_hsv_v_p10,-0.0781864133505466,2.1385891078134859e-07,8,-0.07708468927118604,-0.07064571317498652,0.09804976633336698,6,raw_full
raw_full_lab_l_mean,0.008651524462573102,0.5665958163525586,8,0.01347238878058164,0.01843098651958307,0.09777060910789984,4,raw_full
raw_full_lab_l_p10,-0.08701694175974273,7.704351406210074e-09,8,-0.07382839325595694,-0.07129850729721432,0.09516889814415407,6,raw_full
raw_full_hsv_v_p90,0.022951090904582458,0.1284005879668107,8,0.024313156537514737,0.0018541727731715852,0.09336817222989886,4,raw_full
raw_full_hsv_v_mean,-0.010467708057621582,0.4880703540364709,8,-0.012508929152206413,0.015244612440983192,0.09167577606970045,3,raw_full
raw_full_hsv_v_p99,0.047788238919743535,0.0015390556241914452,8,0.05449037802427977,0.010801059785050178,0.08515135569540935,4,raw_full
